Rank;Username;Followers;Country;Date;Views;Likes;Comments;Saves;Shares;Link
1;marisrares;304.838;Romania;22 Feb 2025;258.900;7.484;59;351;312;https://www.tiktok.com/@undefined/video/7474225911785639190
2;marisrares;304.838;Romania;28 Feb 2025;179.500;5.584;25;287;170;https://www.tiktok.com/@undefined/video/7476543915475127574
3;marisrares;304.838;Romania;23 Feb 2025;116.200;3.986;71;242;310;https://www.tiktok.com/@undefined/video/7474681255716490518
4;marisrares;304.838;Romania;25 Feb 2025;72.000;2.150;33;71;24;https://www.tiktok.com/@undefined/video/7475449114059345154
5;calinaww;11.943;Romania;01 Apr 2025;35.601;761;13;66;28;https://www.tiktok.com/@undefined/video/7488412299712007446
6;visatoruul;4.794;Romania;11 Mar 2025;10.500;670;1;108;800;https://www.tiktok.com/@undefined/video/7480492932974349590
7;anonimcelebruu;1.933;Romania;03 Mar 2025;6.019;322;2;49;168;https://www.tiktok.com/@undefined/video/7477632893381070102
8;anonimcelebruu;1.933;Romania;11 Mar 2025;4.786;425;2;51;238;https://www.tiktok.com/@undefined/video/7480582190309346582
9;visatoruul;4.794;Romania;08 Mar 2025;2.680;179;1;21;19;https://www.tiktok.com/@undefined/video/7479533716935691542
10;zburatoruul;30;Romania;03 Mar 2025;2.098;107;2;15;3;https://www.tiktok.com/@undefined/video/7477594236796423446
